Year,Quarter,Month,Day,COUNTRY,CUSTOMER_ID,CUSTOMER_UNIQUE_KEY,Female %,Full Name,FIRST_NAME,GENDER,LAST_NAME,Male %,profit,Repeat Purchase Rate,Total Female Customers,Total Male Customers
1928,Qtr 4,December,7,Canada,17619,AW00017619,100,Chloe Smith,Chloe,Female,Smith,,173,100,1,
1929,Qtr 1,January,30,United Kingdom,22629,AW00022629,,Matthew Rodriguez,Matthew,Male,Rodriguez,100,37,100,,1
1929,Qtr 4,October,21,United States,13919,AW00013919,100,Grace Smith,Grace,Female,Smith,,54,100,1,
1929,Qtr 4,December,18,Germany,14768,AW00014768,,Ian Kelly,Ian,Male,Kelly,100,137,100,,1
1930,Qtr 1,February,15,Canada,11845,AW00011845,100,Natalie Jones,Natalie,Female,Jones,,264,100,1,
1930,Qtr 3,September,6,Germany,21057,AW00021057,100,Elizabeth Butler,Elizabeth,Female,Butler,,2498,100,1,
1930,Qtr 4,December,13,France,24836,AW00024836,100,Taylor Robinson,Taylor,Female,Robinson,,31,100,1,
1931,Qtr 1,February,4,France,26355,AW00026355,,Darren Madan,Darren,Male,Madan,100,21,100,,1
1931,Qtr 2,May,23,United States,25978,AW00025978,100,Morgan Perez,Morgan,Female,Perez,,2391,100,1,
1931,Qtr 3,August,13,United Kingdom,13776,AW00013776,,Miguel Carter,Miguel,Male,Carter,100,45,100,,1
1932,Qtr 1,January,13,Australia,28537,AW00028537,,Christian Hayes,Christian,Male,Hayes,100,72,100,,1
1932,Qtr 1,January,25,Germany,12810,AW00012810,,Chase Stewart,Chase,Male,Stewart,100,4,100,,1
1932,Qtr 1,February,7,Germany,26358,AW00026358,,Mason Gonzalez,Mason,Male,Gonzalez,100,14,100,,1
1932,Qtr 1,February,10,Germany,19449,AW00019449,,Nuan Yuan,Nuan,Male,Yuan,100,28,100,,1
1932,Qtr 1,March,27,France,11554,AW00011554,100,Sydney Simmons,Sydney,Female,Simmons,,69,100,1,
1932,Qtr 3,September,5,Australia,26742,AW00026742,,James Collins,James,Male,Collins,100,44,,,1
1932,Qtr 4,October,31,United States,26628,AW00026628,,Lucas Lee,Lucas,Male,Lee,100,22,100,,1
1932,Qtr 4,December,11,United States,24350,AW00024350,,Eduardo Simmons,Eduardo,Male,Simmons,100,93,100,,1
1933,Qtr 1,January,16,United Kingdom,19457,AW00019457,100,Jennifer Williams,Jennifer,Female,Williams,,59,100,1,
1933,Qtr 1,January,23,Germany,19456,AW00019456,,Jesse Perez,Jesse,Male,Perez,100,23,100,,1
1933,Qtr 1,February,2,Germany,20893,AW00020893,,Robert Hall,Robert,Male,Hall,100,22,100,,1
1933,Qtr 1,February,17,France,24070,AW00024070,,Cameron Shan,Cameron,Male,Shan,100,22,100,,1
1933,Qtr 2,April,16,Germany,29370,AW00029370,,Mason Kelly,Mason,Male,Kelly,100,61,100,,1
1933,Qtr 2,May,16,France,12823,AW00012823,100,Bethany She,Bethany,Female,She,,25,100,1,
1933,Qtr 3,August,9,n/a,21154,AW00021154,,Michael Clark,Michael,Male,Clark,100,106,100,,1
1933,Qtr 3,August,17,United Kingdom,26364,AW00026364,100,Gabriella Hill,Gabriella,Female,Hill,,72,100,1,
1933,Qtr 3,August,30,Australia,22931,AW00022931,,Logan Johnson,Logan,Male,Johnson,100,2340,100,,1
1933,Qtr 3,September,1,United States,18058,AW00018058,100,Riley Patterson,Riley,Female,Patterson,,72,100,1,
1933,Qtr 4,October,20,United Kingdom,16264,AW00016264,100,Jennifer Howard,Jennifer,Female,Howard,,86,100,1,
1933,Qtr 4,December,22,United States,14648,AW00014648,,Eric Evans,Eric,Male,Evans,100,2969,100,,1
1934,Qtr 1,February,12,United States,19404,AW00019404,100,Nicole Moore,Nicole,Female,Moore,,3,,1,
1934,Qtr 2,May,15,United States,12978,AW00012978,100,Danielle James,Danielle,Female,James,,31,100,1,
1934,Qtr 3,August,1,France,24081,AW00024081,100,Alexis Hughes,Alexis,Female,Hughes,,19,100,1,
1934,Qtr 3,August,8,Germany,26843,AW00026843,,Noah Gonzalez,Noah,Male,Gonzalez,100,116,100,,1
1934,Qtr 3,August,13,Australia,21201,AW00021201,100,Anna Rogers,Anna,Female,Rogers,,3237,100,1,
1934,Qtr 3,September,2,France,19465,AW00019465,100,Sierra Baker,Sierra,Female,Baker,,3,,1,
1934,Qtr 3,September,3,United States,17658,AW00017658,100,Jade Howard,Jade,Female,Howard,,4,100,1,
1934,Qtr 4,October,6,United States,18690,AW00018690,,Carlos Rivera,Carlos,Male,Rivera,100,98,100,,1
1934,Qtr 4,December,31,n/a,20737,AW00020737,100,Victoria Griffin,Victoria,Female,Griffin,,107,100,1,
1935,Qtr 1,March,20,United States,22331,AW00022331,100,Michele Yuan,Michele,Female,Yuan,,9,100,1,
1935,Qtr 1,March,21,United States,25330,AW00025330,100,Madison Gonzales,Madison,Female,Gonzales,,64,100,1,
1935,Qtr 2,April,5,United States,13951,AW00013951,,Dylan Hughes,Dylan,Male,Hughes,100,83,100,,1
1935,Qtr 2,May,8,France,19464,AW00019464,,Tyrone Alonso,Tyrone,Male,Alonso,100,15,100,,1
1935,Qtr 2,June,1,United States,17276,AW00017276,,Elijah Jenkins,Elijah,Male,Jenkins,100,24,100,,1
1935,Qtr 3,July,3,Canada,23208,AW00023208,100,Janet Watson,Janet,Female,Watson,,37,100,1,
1935,Qtr 3,July,3,United States,16212,AW00016212,100,Jacqueline Rivera,Jacqueline,Female,Rivera,,72,100,1,
1935,Qtr 3,July,11,United States,12758,AW00012758,100,Stephanie Ramirez,Stephanie,Female,Ramirez,,94,100,1,
1935,Qtr 4,November,24,United Kingdom,26844,AW00026844,100,Erin Cooper,Erin,Female,Cooper,,12,100,1,
1935,Qtr 4,December,16,Australia,24463,AW00024463,100,Kristen Zheng,Kristen,Female,Zheng,,2409,100,1,
1936,Qtr 1,January,8,Australia,27700,AW00027700,,Barry Arun,Barry,Male,Arun,100,72,100,,1
1936,Qtr 2,April,11,United States,11503,AW00011503,,Dennis Wu,Dennis,Male,Wu,100,51,100,,1
1936,Qtr 2,April,15,Germany,17993,AW00017993,,Richard Williams,Richard,Male,Williams,100,28,100,,1
1936,Qtr 2,April,18,United States,12412,AW00012412,100,Mackenzie Wright,Mackenzie,Female,Wright,,209,100,1,
1936,Qtr 2,April,18,United States,23243,AW00023243,100,Jasmine Rogers,Jasmine,Female,Rogers,,22,100,1,
1936,Qtr 2,June,15,United States,21688,AW00021688,,Jesse Morris,Jesse,Male,Morris,100,9,100,,1
1936,Qtr 3,August,3,United States,21689,AW00021689,100,Olivia Simmons,Olivia,Female,Simmons,,9,100,1,
1936,Qtr 3,September,5,United States,14876,AW00014876,,Nathan Anderson,Nathan,Male,Anderson,100,8,100,,1
1936,Qtr 4,October,5,Canada,23783,AW00023783,,Zachary Smith,Zachary,Male,Smith,100,15,100,,1
1936,Qtr 4,October,17,United States,11504,AW00011504,100,Jordan Baker,Jordan,Female,Baker,,27,100,1,
1936,Qtr 4,November,3,Germany,16413,AW00016413,100,Julia Gonzalez,Julia,Female,Gonzalez,,24,100,1,
1936,Qtr 4,November,10,United States,27194,AW00027194,,Chase Cooper,Chase,Male,Cooper,100,96,100,,1
1936,Qtr 4,December,22,United States,18643,AW00018643,,Joshua Thomas,Joshua,Male,Thomas,100,2404,100,,1
1937,Qtr 1,January,3,Australia,20242,AW00020242,,Christopher Thomas,Christopher,Male,Thomas,100,3681,100,,1
1937,Qtr 1,January,9,Canada,22332,AW00022332,100,Brittany Bennett,Brittany,Female,Bennett,,72,100,1,
1937,Qtr 1,January,10,United States,12759,AW00012759,100,Jada Sanders,Jada,Female,Sanders,,14,,1,
1937,Qtr 1,February,9,United States,22333,AW00022333,100,Gabriella Watson,Gabriella,Female,Watson,,91,100,1,
1937,Qtr 2,April,3,United Kingdom,27785,AW00027785,,Sebastian Bell,Sebastian,Male,Bell,100,72,100,,1
1937,Qtr 3,July,4,United Kingdom,11555,AW00011555,100,Alexandria Henderson,Alexandria,Female,Henderson,,69,100,1,
1937,Qtr 3,July,4,United States,20471,AW00020471,,Carlos Gonzalez,Carlos,Male,Gonzalez,100,49,100,,1
1937,Qtr 3,September,2,Canada,13267,AW00013267,,Matthew Moore,Matthew,Male,Moore,100,125,100,,1
1937,Qtr 3,September,5,United States,13269,AW00013269,100,Rachel Martin,Rachel,Female,Martin,,4120,100,1,
1937,Qtr 3,September,22,United States,15358,AW00015358,100,Danielle Sanders,Danielle,Female,Sanders,,72,100,1,
1937,Qtr 4,November,16,Australia,18732,AW00018732,,Zachary Jai,Zachary,Male,Jai,100,97,100,,1
1937,Qtr 4,November,20,Australia,19606,AW00019606,,Gabriel Parker,Gabriel,Male,Parker,100,100,100,,1
1937,Qtr 4,December,3,Australia,21208,AW00021208,100,Olivia Griffin,Olivia,Female,Griffin,,72,100,1,
1937,Qtr 4,December,5,United States,11252,AW00011252,,Nicholas Thompson,Nicholas,Male,Thompson,100,4124,100,,1
1937,Qtr 4,December,10,United States,16832,AW00016832,,Isaiah Parker,Isaiah,Male,Parker,100,2482,100,,1
1937,Qtr 4,December,16,United States,24393,AW00024393,,Joseph Johnson,Joseph,Male,Johnson,100,24,100,,1
1937,Qtr 4,December,30,United States,18949,AW00018949,,Jackson Hall,Jackson,Male,Hall,100,369,100,,1
1938,Qtr 1,January,1,Canada,11251,AW00011251,,Xavier Long,Xavier,Male,Long,100,2396,100,,1
1938,Qtr 1,January,13,France,23919,AW00023919,100,Jordan Parker,Jordan,Female,Parker,,49,100,1,
1938,Qtr 1,January,21,Canada,13268,AW00013268,100,Katherine Parker,Katherine,Female,Parker,,322,100,1,
1938,Qtr 1,February,4,United States,18516,AW00018516,,Juan Brooks,Juan,Male,Brooks,100,2457,100,,1
1938,Qtr 1,February,21,United States,16833,AW00016833,,Richard Cooper,Richard,Male,Cooper,100,2422,100,,1
1938,Qtr 2,April,4,n/a,21430,AW00021430,100,Savannah Morgan,Savannah,Female,Morgan,,106,100,1,
1938,Qtr 2,April,16,United Kingdom,25632,AW00025632,,Lee Moreno,Lee,Male,Moreno,100,57,100,,1
1938,Qtr 2,May,4,United States,12137,AW00012137,,Jack Green,Jack,Male,Green,100,80,100,,1
1938,Qtr 2,May,8,Canada,12136,AW00012136,,Blake Turner,Blake,Male,Turner,100,220,100,,1
1938,Qtr 2,May,18,United States,13413,AW00013413,,Fernando Phillips,Fernando,Male,Phillips,100,83,100,,1
1938,Qtr 2,June,23,Canada,26051,AW00026051,,Joshua Williams,Joshua,Male,Williams,100,3,,,1
1938,Qtr 3,August,1,United States,13273,AW00013273,100,Elizabeth Lee,Elizabeth,Female,Lee,,4214,100,1,
1938,Qtr 3,August,8,Australia,26144,AW00026144,100,Cassidy Russell,Cassidy,Female,Russell,,17,100,1,
1938,Qtr 3,August,31,United States,11254,AW00011254,,Johnathan Vance,Johnathan,Male,Vance,100,188,100,,1
1938,Qtr 3,September,7,Germany,18002,AW00018002,100,Gina Navarro,Gina,Female,Navarro,,17,100,1,
1938,Qtr 3,September,25,United States,14434,AW00014434,100,Sophia Hill,Sophia,Female,Hill,,3218,100,1,
1938,Qtr 3,September,30,Australia,18287,AW00018287,100,Heather Zeng,Heather,Female,Zeng,,45,100,1,
1938,Qtr 4,October,2,United States,11255,AW00011255,,Colin Lin,Colin,Male,Lin,100,166,100,,1
1938,Qtr 4,October,4,United States,13415,AW00013415,,Marcus Rogers,Marcus,Male,Rogers,100,2398,100,,1
1938,Qtr 4,October,5,United States,15359,AW00015359,,Logan Yang,Logan,Male,Yang,100,45,100,,1
1938,Qtr 4,October,9,United Kingdom,27794,AW00027794,100,Dawn Kumar,Dawn,Female,Kumar,,16,100,1,
1938,Qtr 4,October,12,United States,13272,AW00013272,100,Jordan Gonzalez,Jordan,Female,Gonzalez,,111,100,1,
1938,Qtr 4,October,14,United States,14435,AW00014435,100,Jennifer Wilson,Jennifer,Female,Wilson,,77,100,1,
1938,Qtr 4,October,26,Germany,21086,AW00021086,100,Katelyn Bell,Katelyn,Female,Bell,,81,100,1,
1938,Qtr 4,November,15,United States,15361,AW00015361,,Thomas Gonzales,Thomas,Male,Gonzales,100,72,100,,1
1938,Qtr 4,November,20,France,16423,AW00016423,,Sergio Madan,Sergio,Male,Madan,100,53,100,,1
1938,Qtr 4,December,3,United States,14433,AW00014433,100,Jennifer Peterson,Jennifer,Female,Peterson,,3206,100,1,
1938,Qtr 4,December,18,United Kingdom,28392,AW00028392,,Luke Green,Luke,Male,Green,100,14,100,,1
1938,Qtr 4,December,20,United States,15360,AW00015360,,Ryan Martin,Ryan,Male,Martin,100,3,,,1
1938,Qtr 4,December,26,United States,11258,AW00011258,,Xavier Hill,Xavier,Male,Hill,100,31,100,,1
1938,Qtr 4,December,29,United States,13414,AW00013414,,Miguel Wilson,Miguel,Male,Wilson,100,2404,100,,1
1939,Qtr 1,January,3,France,22499,AW00022499,100,Dawn Zhou,Dawn,Female,Zhou,,14,100,1,
1939,Qtr 1,January,12,United States,15936,AW00015936,100,Abigail Johnson,Abigail,Female,Johnson,,72,100,1,
1939,Qtr 1,January,18,Canada,16834,AW00016834,100,Morgan Peterson,Morgan,Female,Peterson,,672,100,1,
1939,Qtr 1,January,31,United Kingdom,25477,AW00025477,100,Holly Raman,Holly,Female,Raman,,3,,1,
1939,Qtr 1,February,8,Germany,25633,AW00025633,100,Tara Sutton,Tara,Female,Sutton,,139,100,1,
1939,Qtr 1,February,21,United States,14432,AW00014432,,Antonio Russell,Antonio,Male,Russell,100,14,,,1
1939,Qtr 1,March,7,France,27793,AW00027793,,Mitchell Shan,Mitchell,Male,Shan,100,57,100,,1
1939,Qtr 1,March,12,United Kingdom,11580,AW00011580,,Melvin Raje,Melvin,Male,Raje,100,69,100,,1
1939,Qtr 1,March,19,Germany,18003,AW00018003,,Edwin Chande,Edwin,Male,Chande,100,88,100,,1
1939,Qtr 1,March,20,United States,11256,AW00011256,100,Katelyn Hernandez,Katelyn,Female,Hernandez,,98,100,1,
1939,Qtr 1,March,27,Germany,12837,AW00012837,100,Nicole Anderson,Nicole,Female,Anderson,,3,,1,
1939,Qtr 2,April,9,Australia,22947,AW00022947,100,Danielle Torres,Danielle,Female,Torres,,26,100,1,
1939,Qtr 2,April,13,United States,16835,AW00016835,,Noah Nelson,Noah,Male,Nelson,100,2378,100,,1
1939,Qtr 2,April,26,Canada,13270,AW00013270,,Mason Baker,Mason,Male,Baker,100,2510,100,,1
1939,Qtr 2,May,16,Germany,21085,AW00021085,100,Leslie Vazquez,Leslie,Female,Vazquez,,72,100,1,
1939,Qtr 2,May,26,United States,12138,AW00012138,,Colin Jai,Colin,Male,Jai,100,98,100,,1
1939,Qtr 2,May,27,Australia,27704,AW00027704,,Jimmy Romero,Jimmy,Male,Romero,100,26,100,,1
1939,Qtr 2,June,19,Canada,13271,AW00013271,,Ryan Anderson,Ryan,Male,Anderson,100,2404,100,,1
1939,Qtr 3,July,5,United States,29227,AW00029227,,Levi Patel,Levi,Male,Patel,100,88,100,,1
1939,Qtr 3,July,12,United States,12156,AW00012156,100,Bonnie Raji,Bonnie,Female,Raji,,3825,100,1,
1939,Qtr 3,July,15,n/a,20643,AW00020643,100,Abigail Patterson,Abigail,Female,Patterson,,9,100,1,
1939,Qtr 3,July,18,United States,11275,AW00011275,100,Jenny Rai,Jenny,Female,Rai,,3894,100,1,
1939,Qtr 3,August,5,United States,21906,AW00021906,100,Miranda Simmons,Miranda,Female,Simmons,,9,100,1,
1939,Qtr 3,August,8,United Kingdom,18007,AW00018007,100,Michele Suri,Michele,Female,Suri,,72,100,1,
1939,Qtr 3,August,17,n/a,20644,AW00020644,,Patrick Brooks,Patrick,Male,Brooks,100,2253,100,,1
1939,Qtr 3,September,8,Canada,21577,AW00021577,100,Tiffany Ma,Tiffany,Female,Ma,,72,100,1,
1939,Qtr 3,September,17,Australia,22949,AW00022949,,Gavin Butler,Gavin,Male,Butler,100,68,100,,1
1939,Qtr 4,October,6,France,29395,AW00029395,100,Lydia Rana,Lydia,Female,Rana,,9,100,1,
1939,Qtr 4,October,9,Canada,26073,AW00026073,100,Julia Adams,Julia,Female,Adams,,37,100,1,
1939,Qtr 4,October,9,United States,15953,AW00015953,,Julio Moreno,Julio,Male,Moreno,100,1003,100,,1
1939,Qtr 4,October,10,United States,11274,AW00011274,,Kyle Foster,Kyle,Male,Foster,100,3794,100,,1
1939,Qtr 4,October,12,Canada,17404,AW00017404,100,Gabriella Baker,Gabriella,Female,Baker,,627,100,1,
1939,Qtr 4,October,16,France,17816,AW00017816,100,Kathryn Raje,Kathryn,Female,Raje,,23,100,1,
1939,Qtr 4,October,16,United States,29226,AW00029226,100,Katherine Lee,Katherine,Female,Lee,,72,100,1,
1939,Qtr 4,October,17,United States,15373,AW00015373,100,Kaitlyn Jones,Kaitlyn,Female,Jones,,72,100,1,
1939,Qtr 4,October,17,United States,24405,AW00024405,100,Tara Rai,Tara,Female,Rai,,971,100,1,
1939,Qtr 4,October,25,France,13802,AW00013802,100,Tina Subram,Tina,Female,Subram,,62,100,1,
1939,Qtr 4,October,29,Australia,13134,AW00013134,100,Sara Morgan,Sara,Female,Morgan,,4827,100,1,
1939,Qtr 4,October,30,Germany,24097,AW00024097,,Francisco Fernandez,Francisco,Male,Fernandez,100,4,100,,1
1939,Qtr 4,November,13,Germany,17817,AW00017817,100,Felicia Gutierrez,Felicia,Female,Gutierrez,,44,100,1,
1939,Qtr 4,November,29,Germany,29396,AW00029396,,Arturo Zeng,Arturo,Male,Zeng,100,22,100,,1
1939,Qtr 4,December,8,United States,17405,AW00017405,100,Tamara Wu,Tamara,Female,Wu,,646,100,1,
1939,Qtr 4,December,22,United States,18810,AW00018810,,Casey Dominguez,Casey,Male,Dominguez,100,84,100,,1
1939,Qtr 4,December,22,United States,21909,AW00021909,100,Allison Ward,Allison,Female,Ward,,210,100,1,
1939,Qtr 4,December,22,United States,29228,AW00029228,100,Courtney Campbell,Courtney,Female,Campbell,,16,,1,
1939,Qtr 4,December,25,United States,24404,AW00024404,,Bryant Chapman,Bryant,Male,Chapman,100,902,,,1
1939,Qtr 4,December,30,United States,21908,AW00021908,100,Isabel Hayes,Isabel,Female,Hayes,,63,100,1,
1940,Qtr 1,January,17,United States,27627,AW00027627,,Jason Yang,Jason,Male,Yang,100,22,100,,1
1940,Qtr 1,January,19,United States,17408,AW00017408,,Thomas Miller,Thomas,Male,Miller,100,3,,,1
1940,Qtr 1,January,31,Germany,13803,AW00013803,100,Krystal Zheng,Krystal,Female,Zheng,,117,100,1,
1940,Qtr 1,February,17,United States,21907,AW00021907,100,Jordan Hall,Jordan,Female,Hall,,9,100,1,
1940,Qtr 1,February,29,United States,27626,AW00027626,,Connor Hayes,Connor,Male,Hayes,100,21,100,,1
1940,Qtr 1,March,1,United States,25169,AW00025169,,Angel Peterson,Angel,Male,Peterson,100,902,,,1
1940,Qtr 1,March,14,United States,15375,AW00015375,100,Alisha Chande,Alisha,Female,Chande,,42,100,1,
1940,Qtr 1,March,15,United States,17406,AW00017406,100,Mariah Flores,Mariah,Female,Flores,,4,100,1,
1940,Qtr 1,March,16,United States,13435,AW00013435,100,Tracy Pal,Tracy,Female,Pal,,3422,100,1,
1940,Qtr 1,March,18,United States,21905,AW00021905,,Pedro Hernandez,Pedro,Male,Hernandez,100,9,100,,1
1940,Qtr 1,March,21,France,23964,AW00023964,,Arturo Nara,Arturo,Male,Nara,100,22,100,,1
1940,Qtr 1,March,21,France,24096,AW00024096,100,Diana Vazquez,Diana,Female,Vazquez,,4,100,1,
1940,Qtr 1,March,21,United States,12157,AW00012157,,William White,William,Male,White,100,27,100,,1
1940,Qtr 1,March,30,Germany,18006,AW00018006,,Franklin Chander,Franklin,Male,Chander,100,72,100,,1
1940,Qtr 2,April,10,United States,15374,AW00015374,100,Donna Kumar,Donna,Female,Kumar,,3238,100,1,
1940,Qtr 2,May,3,United States,21579,AW00021579,,Wyatt Jackson,Wyatt,Male,Jackson,100,9,100,,1
1940,Qtr 2,May,17,United States,14454,AW00014454,100,Kayla Anderson,Kayla,Female,Anderson,,20,100,1,
1940,Qtr 2,June,3,Canada,13434,AW00013434,100,Kaitlyn Wright,Kaitlyn,Female,Wright,,2426,100,1,
1940,Qtr 2,June,3,France,27807,AW00027807,,Shaun Kumar,Shaun,Male,Kumar,100,3,,,1
1940,Qtr 3,August,1,United States,11297,AW00011297,,Noah Coleman,Noah,Male,Coleman,100,3879,100,,1
1940,Qtr 3,August,1,United States,28277,AW00028277,100,Katrina Deng,Katrina,Female,Deng,,3,,1,
1940,Qtr 3,August,14,United Kingdom,15449,AW00015449,,Cedric Yuan,Cedric,Male,Yuan,100,30,100,,1
1940,Qtr 3,August,15,United States,24423,AW00024423,100,Alyssa Harris,Alyssa,Female,Harris,,21,,1,
1940,Qtr 3,August,15,United States,27654,AW00027654,100,Carrie Diaz,Carrie,Female,Diaz,,13,,1,
1940,Qtr 3,August,16,Australia,12011,AW00012011,100,Morgan Johnson,Morgan,Female,Johnson,,2052,100,1,
1940,Qtr 3,August,21,United States,28280,AW00028280,,Tristan Powell,Tristan,Male,Powell,100,3,,,1
1940,Qtr 3,August,29,United States,13461,AW00013461,,Anthony Jones,Anthony,Male,Jones,100,4100,100,,1
1940,Qtr 3,August,30,United States,11298,AW00011298,,Jon Luo,Jon,Male,Luo,100,3829,100,,1
1940,Qtr 3,August,31,United States,20359,AW00020359,100,Rachel Blue,Rachel,Female,Blue,,53,100,1,
1940,Qtr 3,September,8,United States,17448,AW00017448,,Zachary Hayes,Zachary,Male,Hayes,100,100,100,,1
1940,Qtr 3,September,10,Canada,16873,AW00016873,,Damien Deng,Damien,Male,Deng,100,233,100,,1
1940,Qtr 3,September,11,Germany,22386,AW00022386,,Jerome Gill,Jerome,Male,Gill,100,3,,,1
1940,Qtr 3,September,11,United States,29261,AW00029261,,Robert Turner,Robert,Male,Turner,100,1688,100,,1
1940,Qtr 3,September,14,United States,17447,AW00017447,100,Sydney Lewis,Sydney,Female,Lewis,,12,100,1,
1940,Qtr 4,October,7,Australia,11119,AW00011119,,Evan James,Evan,Male,James,100,76,100,,1
1940,Qtr 4,October,20,United States,20360,AW00020360,100,Brianna Russell,Brianna,Female,Russell,,50,100,1,
1940,Qtr 4,October,20,United States,22099,AW00022099,,Joel Schmidt,Joel,Male,Schmidt,100,210,100,,1
1940,Qtr 4,October,24,Australia,14073,AW00014073,,Gabriel Alexander,Gabriel,Male,Alexander,100,125,100,,1
1940,Qtr 4,November,2,United States,17444,AW00017444,100,Bailey Cox,Bailey,Female,Cox,,78,100,1,
1940,Qtr 4,November,2,United States,29177,AW00029177,,Frank Martin,Frank,Male,Martin,100,19,100,,1
